,res
0,1.0
1,1.0
2,1.0
3,0.5
4,0.5
5,1.0
6,1.0
7,0.5
8,1.0
9,0.0
10,0.5
11,0.5
12,0.0
13,0.5
14,0.5
15,0.5
16,1.0
17,1.0
18,0.5
19,0.0
20,0.5
21,1.0
22,0.5
23,0.5
24,1.0
25,1.0
26,0.5
27,0.0
28,1.0
29,0.5
30,1.0
31,1.0
32,0.5
33,1.0
34,0.5
35,1.0
36,1.0
37,0.5
38,0.5
39,0.5
40,1.0
41,0.5
42,1.0
43,1.0
44,0.0
45,1.0
46,1.0
47,1.0
48,0.5
49,1.0
50,0.0
51,0.5
52,0.5
53,0.0
54,0.5
55,0.5
56,0.0
57,0.5
58,1.0
59,0.5
60,1.0
61,1.0
62,0.5
63,1.0
64,0.5
65,1.0
66,1.0
67,0.5
68,1.0
69,1.0
70,0.5
71,1.0
72,0.0
73,0.5
74,0.5
75,1.0
76,0.5
77,1.0
78,1.0
79,1.0
80,0.5
81,0.5
82,0.0
83,0.5
84,0.5
85,1.0
86,1.0
87,0.14285714285714285
88,0.5
89,0.5
90,1.0
91,0.5
92,1.0
93,1.0
94,1.0
95,0.5
96,0.5
97,0.5
98,1.0
99,0.0
